acousticness,artist,beatdiff_kurtosis,beatdiff_max,beatdiff_mean,beatdiff_median,beatdiff_min,beatdiff_percentile,beatdiff_range,beatdiff_skewness,beatdiff_std,beatdiff_var,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,timbre_10_kurtosis,timbre_10_max,timbre_10_mean,timbre_10_median,timbre_10_min,timbre_10_percentile,timbre_10_range,timbre_10_skewness,timbre_10_std,timbre_10_var,timbre_11_kurtosis,timbre_11_max,timbre_11_mean,timbre_11_median,timbre_11_min,timbre_11_percentile,timbre_11_range,timbre_11_skewness,timbre_11_std,timbre_11_var,timbre_12_kurtosis,timbre_12_max,timbre_12_mean,timbre_12_median,timbre_12_min,timbre_12_percentile,timbre_12_range,timbre_12_skewness,timbre_12_std,timbre_12_var,timbre_1_kurtosis,timbre_1_max,timbre_1_mean,timbre_1_median,timbre_1_min,timbre_1_percentile,timbre_1_range,timbre_1_skewness,timbre_1_std,timbre_1_var,timbre_2_kurtosis,timbre_2_max,timbre_2_mean,timbre_2_median,timbre_2_min,timbre_2_percentile,timbre_2_range,timbre_2_skewness,timbre_2_std,timbre_2_var,timbre_3_kurtosis,timbre_3_max,timbre_3_mean,timbre_3_median,timbre_3_min,timbre_3_percentile,timbre_3_range,timbre_3_skewness,timbre_3_std,timbre_3_var,timbre_4_kurtosis,timbre_4_max,timbre_4_mean,timbre_4_median,timbre_4_min,timbre_4_percentile,timbre_4_range,timbre_4_skewness,timbre_4_std,timbre_4_var,timbre_5_kurtosis,timbre_5_max,timbre_5_mean,timbre_5_median,timbre_5_min,timbre_5_percentile,timbre_5_range,timbre_5_skewness,timbre_5_std,timbre_5_var,timbre_6_kurtosis,timbre_6_max,timbre_6_mean,timbre_6_median,timbre_6_min,timbre_6_percentile,timbre_6_range,timbre_6_skewness,timbre_6_std,timbre_6_var,timbre_7_kurtosis,timbre_7_max,timbre_7_mean,timbre_7_median,timbre_7_min,timbre_7_percentile,timbre_7_range,timbre_7_skewness,timbre_7_std,timbre_7_var,timbre_8_kurtosis,timbre_8_max,timbre_8_mean,timbre_8_median,timbre_8_min,timbre_8_percentile,timbre_8_range,timbre_8_skewness,timbre_8_std,timbre_8_var,timbre_9_kurtosis,timbre_9_max,timbre_9_mean,timbre_9_median,timbre_9_min,timbre_9_percentile,timbre_9_range,timbre_9_skewness,timbre_9_std,timbre_9_var,time_signature,title,valence,year
0.0742,madonna,6.76804821270356,0.48389,0.47615186480186483,0.47626,0.46502,0.47747399999999995,0.018869999999999998,-0.9318146886402028,0.0017942791165688325,3.2194375481550298e-06,0.637,4.0,215133.0,0.8909999999999999,0.0006219999999999999,11.0,0.0686,-4.138999999999999,0.0,10.0,1.0,0.0345,126.00200000000001,0.4617155035963467,56.045,6.132678030303031,6.137499999999999,-48.011,17.992400000000004,104.05600000000001,-0.12972851963381155,14.713919782034408,216.49943535214345,3.2513021238642867,49.445,-5.938477272727272,-5.3015,-85.956,3.7576000000000005,135.401,-0.6325629052492207,13.010706730739953,169.27848963332193,0.3732362251088466,43.082,-0.47082070707070756,-0.0325,-46.449,8.995200000000002,89.531,-0.03607445396601875,12.421400326000409,154.2911860587631,25.054762965776987,57.827,52.07342045454541,53.5045,0.0,55.7216,57.827,-3.505804047658556,5.147907367698041,26.50095026639977,1.9555908297813192,171.13,50.320310606060644,62.161500000000004,-130.269,81.364,301.399,-1.286878797758587,44.324185863608434,1964.633452471706,0.5362200170706104,87.576,-14.000862373737375,-9.281500000000001,-143.651,17.201200000000007,231.227,-0.6640123472629085,37.27484207321784,1389.413851583331,6.810641651931112,267.955,-4.943540404040402,-9.2545,-124.117,17.90400000000001,392.072,1.1583019013746327,32.15624541728637,1034.0241193367506,0.29894795087771264,102.897,24.39457449494951,26.697499999999998,-46.83,42.387800000000006,149.727,-0.3784495364112018,22.92226513542879,525.4302389388943,2.5321533046632894,75.373,-37.24928409090903,-37.4285,-123.604,-21.557399999999998,198.977,-0.018098097478543844,25.193805833831,634.727852392777,0.5639726412460475,93.7,-5.379333333333331,-4.1465,-75.892,11.954,169.59199999999998,-0.1543947310754318,21.04730391069343,442.989001909091,1.4933744567601854,76.535,-2.2155315656565664,-2.6995,-60.851,11.141400000000006,137.386,0.35841329234227187,17.402240086459603,302.8379600267815,0.1814697925368267,38.396,-10.169467171717177,-10.9625,-55.43,2.0476000000000045,93.826,0.2414160075314656,14.358281406857794,206.16024495851823,4.0,celebration,0.9329999999999999,2009.0
0.126,calvin harris,0.8507249037311464,0.44039,0.4348125,0.434865,0.43012,0.43592,0.010270000000000001,-0.006172370011881998,0.0015379609851798857,2.3653239919354847e-06,0.818,4.0,217133.0,0.713,3.2e-05,9.0,0.0382,-4.813,0.0,10.0,2.0,0.0375,137.969,2.3287508363400375,93.964,0.030723830734965537,-0.1365,-70.339,11.691600000000001,164.303,0.4043177188821836,18.83192262601797,354.6413097923276,0.5576095389463149,58.313,-13.921232739420939,-14.4535,-69.842,0.5326000000000005,128.155,0.2951050002705243,19.410347391191205,376.7615858467233,0.16260274956670884,44.042,3.2443351893095733,3.467,-38.965,14.645400000000006,83.007,-0.22458640271957536,14.103622494674214,198.9121674722805,1.1119297088065183,58.287,49.59687973273942,48.7315,16.455,56.2174,41.832,-0.4700265485700293,5.637855467932399,31.785414277295242,1.3532456598888567,308.623,27.326400890868594,30.2155,-85.948,67.59,394.57099999999997,0.22340419936620304,43.00688820254276,1849.592432866012,-0.8325479328866976,113.255,3.5738173719376474,-2.8114999999999997,-137.962,54.39500000000001,251.21699999999998,-0.008554694186364648,48.311023465695165,2333.9549883029485,2.573423390955951,299.31,12.901402004454376,12.881499999999999,-132.103,43.114000000000004,431.413,0.5460425329504156,42.47787513790547,1804.3698762314878,0.9574176053180081,90.507,14.86937082405346,11.74,-55.678,31.0918,146.185,0.5383400146886858,21.18080307714463,448.6264189927794,0.7385267983681043,98.777,-19.167698218262824,-19.859,-132.388,5.530600000000003,231.16500000000002,-0.0021775713758896134,32.079485913485506,1029.0934164735152,0.850640984362383,75.47,8.448700445434302,6.75,-74.854,24.793,150.324,0.10986190393876474,20.324118236732673,413.0697821006896,4.712771275062174,162.281,3.905902004454336,3.722,-113.194,19.066200000000002,275.475,0.5278992901749717,23.866853505271017,569.6266962420675,0.7805045777749244,44.529,-13.987437639198225,-14.139,-68.114,-1.9693999999999998,112.643,0.2630411204081113,15.776738253476761,248.90546991871696,4.0,ready for the weekend,0.937,2009.0
0.0614,dizzee rascal,-0.15271711980106906,0.52551,0.49737626423690207,0.50801,0.44741,0.509424,0.07810000000000006,-1.2649396134734587,0.020379580811741373,0.0004153273140622972,0.5529999999999999,4.0,220627.0,0.9209999999999999,0.0,0.0,0.047,-1.8980000000000001,1.0,10.0,3.0,0.0465,117.992,2.0276882572258943,84.398,5.799292214357933,3.84,-87.268,18.05360000000001,171.666,0.6515537353027266,18.26402230691953,333.57451082765414,0.6466047872112428,35.589,-12.75854600606675,-11.325,-87.723,1.8144000000000058,123.312,-0.4871324557267163,17.96736783733725,322.82630700218107,0.2652210650981712,31.086,-5.954577350859456,-6.233,-41.16,2.9842000000000075,72.246,0.13982959561862965,11.212360269735107,125.71702281833434,57.68277775536257,60.678,54.787010111223495,55.105,0.0,57.3148,60.678,-4.703029907458707,3.595805883999909,12.92981995540837,0.5581476009125788,201.986,63.85298078867553,65.14,-65.607,91.84500000000001,267.59299999999996,-0.15901167587758008,34.749980324406636,1207.5611325466482,0.5319481188624198,129.04,4.436191102123359,4.16,-112.176,32.57300000000003,241.216,0.11784578318595776,37.365392830695576,1396.1725813921962,12.145026320884156,413.813,7.741701718908002,3.475,-101.875,36.04620000000004,515.688,1.3647367866728788,38.567265262120856,1487.4339497987942,0.13375731017987968,121.629,33.3638240647118,33.398,-45.622,54.528400000000005,167.251,0.06206049553042446,25.831478520273755,667.2652825433644,0.9512561427352555,95.054,-22.54839029322545,-25.588,-111.568,-1.6197999999999988,206.622,0.5090350957933216,28.5249289855609,813.6715736312924,0.1982061105011783,56.182,-9.075230535894852,-6.759,-85.808,9.168,141.99,-0.3296179798448549,23.40054856532593,547.5856731581775,2.8320271911449435,129.637,5.3745369059656145,6.034,-100.612,19.268600000000006,230.249,-0.03663373981902095,22.460872195655906,504.4907797895886,1.2725239001127564,51.657,-9.797018200202213,-9.212,-82.506,1.1866000000000112,134.163,-0.4365640395424918,14.402109113521117,207.420746917768,4.0,holiday,0.8340000000000001,2009.0
0.000266,bloc party,56.751336360656616,0.48284,0.4757685565217391,0.47581,0.45084,0.47692,0.03199999999999997,-4.518654462583844,0.0018888742918160416,3.5678460902835524e-06,0.59,4.0,279987.0,0.8809999999999999,8.88e-06,0.0,0.0991,-6.473,1.0,10.0,8.0,0.0505,126.1,0.2956283507737485,58.438,3.7016373720136544,2.386,-41.075,15.522600000000002,99.513,0.36914122201452976,14.336850542818038,205.54528348710184,1.8168488327716794,62.101,-6.689733788395906,-7.0355,-68.635,3.2170000000000005,130.736,0.025458595501801334,12.832053887503497,164.6616069717936,0.5794226229868418,32.752,-5.178499999999995,-4.251,-63.552,5.004800000000002,96.304,-0.2370241504925573,13.601293465612505,184.99518393771342,25.695407623891022,57.607,50.31627815699651,51.323499999999996,0.04,53.3962,57.567,-3.4309080335920563,4.255043902281387,18.105398610342018,1.3902726761702748,170.969,70.08738737201372,71.7375,-99.553,97.3356,270.522,-0.4191520251763571,35.773046053280794,1279.7108239301488,7.2240411873815,157.94,27.451727815699662,29.112000000000002,-187.374,52.971199999999996,345.31399999999996,-1.2879610346604744,35.25805905555973,1243.130728365337,15.599085608283893,274.147,6.231735494880554,1.206,-63.803,23.928000000000004,337.95,2.7911560454722197,31.908962118628317,1018.1818634880569,-0.37976672270130774,148.753,24.732592150170664,15.6675,-58.852,57.69500000000002,207.605,0.54503887634976,35.9161255055951,1289.9680713336588,1.8131099108586897,80.399,-37.45191723549489,-36.1875,-105.415,-22.343200000000003,185.81400000000002,0.31352089361388347,22.299940043633185,497.28732594963486,0.34373725928854215,66.988,2.0716723549488116,3.915,-73.522,18.608800000000006,140.51,-0.27637142108335117,21.740105489659484,472.63218670152247,3.7346435501153614,143.441,1.6214223549488105,0.2875,-61.613,13.898000000000003,205.054,0.6554733105027754,18.082924583185424,326.9921614811717,0.06196627776160524,34.614,-11.025680887372006,-10.1505,-75.14,2.055000000000005,109.75399999999999,-0.2963512542099991,15.174010050269361,230.25058100567557,4.0,one more chance,0.8029999999999999,2009.0
0.00156,prodigy,23.814371681512235,0.43385,0.408071205479452,0.40797,0.38285,0.40898,0.05099999999999999,0.6316508021302318,0.003785624310933618,1.4330951423531629e-05,0.645,4.0,298533.0,0.96,0.31,9.0,0.105,-5.124,1.0,10.0,11.0,0.0609,147.08,2.0435966426211793,66.351,4.977060145406483,4.575,-65.447,15.618200000000002,131.798,0.24801050472770012,15.887306653476658,252.40651270160367,1.863044484505397,41.659,-11.694436219431598,-10.903,-95.983,2.0608000000000004,137.642,-0.7121986051528084,16.86761914135335,284.51657549775,1.2267844246398987,86.617,8.166783212161267,5.741,-61.382,22.1246,147.999,0.661437090760881,19.901273099480388,396.0606709801017,23.700417604118893,56.24,50.586342366159876,51.757,2.289,53.98859999999999,53.951,-3.799797035783234,5.0824399457495675,25.831195802150862,0.08945876130104224,239.177,124.72416060806349,127.979,35.499,150.29200000000003,203.678,-0.14055238767725944,30.674184892375113,940.9056188116136,-0.8587879438088368,124.579,12.130998017184428,1.361,-183.258,68.58860000000004,307.837,0.3637101216215129,49.91515379543909,2491.5225784223376,3.859016242161678,284.5,19.626687376074024,16.079,-128.387,46.02660000000004,412.887,0.7234355389951586,35.54143754479061,1263.1937827502516,-0.15380509967446754,105.096,8.000044943820226,1.874,-51.608,33.9012,156.704,0.654364704089774,26.843057412407973,720.5497312458306,5.084576689711277,217.514,-28.148983476536742,-31.747,-106.722,-8.421999999999997,324.236,1.2889096338011103,29.64489701259506,878.8199188873675,0.3654450305622263,58.302,6.339672835426306,9.272,-81.682,26.872600000000023,139.984,-0.6822174556309615,24.19233889193362,585.269261062164,1.832434927517692,85.663,4.890780568407142,4.193,-50.078,16.9572,135.74099999999999,0.5274275370699197,16.974531236377167,288.1347106947441,0.7101654440377927,46.705,-19.33910839391939,-20.343,-72.574,-6.216399999999998,119.279,0.20408673048875986,18.770545595283814,352.3333819446286,4.0,out of space,0.606,2009.0
0.000171,prodigy,65.3924483861621,0.42431,0.4123698284960422,0.413415,0.32264,0.414886,0.10167000000000004,-6.1171018784345526,0.006143696672984151,3.7745008809636524e-05,0.619,4.0,312707.0,0.7509999999999999,0.629,1.0,0.109,-11.049000000000001,1.0,10.0,12.0,0.051,145.092,0.16065482449010515,65.741,7.1098824273072045,8.0295,-84.39,23.14440000000001,150.131,-0.1629730258713563,19.09858989827481,364.75613610248456,1.9513567476952698,69.578,-12.90597661188368,-12.3345,-117.005,1.2652000000000072,186.583,-0.27031128916691427,18.358518875744966,337.03521531108424,1.2151193109867071,49.835,-1.2530037926675102,-1.7679999999999998,-61.897,9.791600000000019,111.732,-0.047459844484934025,14.067151127609844,197.88474084701488,4.9409995682670065,51.151,43.86614917825532,45.933499999999995,7.575,48.6854,43.576,-2.1981937887741227,6.849488310398217,46.91549011428182,4.257293893544894,214.429,73.45197471554985,95.6725,-238.714,129.91160000000002,453.14300000000003,-1.9535954955355062,83.43098543339573,6960.72933038749,1.3442284661921429,206.416,-21.62291719342603,-18.764499999999998,-196.585,24.024000000000058,403.001,-0.501915752059366,57.039706910083346,3253.52816438821,4.397262789110594,260.562,9.228342604298357,13.1115,-299.483,36.6036,560.0450000000001,-0.37719757166185447,41.19224506103469,1696.801053168337,0.817994815867241,105.073,-24.660164348925367,-28.3825,-95.901,-2.2949999999999884,200.974,0.7574087120822928,30.748074766175876,945.4441018263417,1.003436893923987,155.51,-32.714884955752176,-37.6395,-121.126,-3.8293999999999997,276.63599999999997,0.6345730878889134,33.18939712485628,1101.536081511418,-0.30040602160427854,82.778,7.0113862199747174,6.2524999999999995,-66.541,27.118600000000004,149.31900000000002,0.057812020027380465,23.208538018831952,538.6362369715682,0.6127344883765455,94.458,-0.14093742098609516,0.8494999999999999,-70.781,16.99060000000004,165.239,-0.04473814726200864,22.165262031234306,491.2988409132772,1.2255330326756795,54.959,-21.12651517067003,-18.813000000000002,-92.057,-6.453599999999993,147.01600000000002,-0.494188378995641,20.988166051112884,440.50311418908746,4.0,charly,0.43200000000000005,2009.0
0.0056700000000000006,prodigy,48.13101365283507,0.43165,0.4138471287128713,0.41375,0.38825,0.41465,0.043399999999999994,-0.47639747732426074,0.001954856750001379,3.8214649130259555e-06,0.64,4.0,377827.0,0.992,0.802,5.0,0.16399999999999998,-6.974,0.0,10.0,19.0,0.0523,144.994,0.3026249051412706,69.81,6.056019427402862,6.1725,-41.448,17.612,111.25800000000001,-0.07332361960383536,13.343082989943289,178.03786367651392,0.4015305680138974,30.294,-9.917797546012295,-9.573,-81.719,1.338,112.01299999999999,-0.26501630079439875,13.815823559406681,190.87698062465668,0.3300240163504129,43.339,7.134688650306742,6.8575,-24.724,14.572,68.063,0.2379655690978711,9.766082905320488,95.37637531359304,2.0050929574655605,54.659,49.04331952965232,49.758,25.196,52.124,29.462999999999997,-1.0977157772929482,3.3899905860434436,11.492036173463172,1.1143768299031231,210.468,102.60864059304703,106.5335,-37.291,131.046,247.759,-0.5541613879327124,36.51431535969546,1333.2952261872915,1.4280171641435233,163.091,-38.37523006134967,-48.043000000000006,-134.773,-2.646,297.86400000000003,1.12138045176397,47.21995550213875,2229.724197623964,12.271829039225489,279.233,-2.5356932515337425,-1.7120000000000002,-229.574,15.314,508.807,0.33053194433238636,24.564994135377695,603.4389368711405,-0.41607099528745906,84.758,7.394823108384452,6.004,-63.616,29.203,148.374,0.1628833399406497,22.396557539908766,501.6057896384442,3.1034374436357295,207.437,-35.84629754601228,-38.7115,-120.27,-12.699,327.707,0.7614828395564336,27.505309555349438,756.542053735597,0.239816139325002,56.057,-20.78394785276072,-22.049,-75.025,-3.011,131.082,0.33006344973965024,22.4117051743828,502.28452882345675,0.8737243780950537,69.941,-5.758978527607359,-7.4185,-72.886,8.48,142.827,0.41690490570261274,19.539474559592904,381.79106606497834,0.43136596281211936,40.437,-8.450898261758708,-8.7695,-64.334,2.433,104.771,-0.07433894446285248,13.20073526463472,174.25941152697067,4.0,no good (start the dance),0.17,2009.0
0.00314,prodigy,33.384888363753255,0.46375,0.4400120413436693,0.44048,0.38349,0.441614,0.08026,-4.15124741891122,0.005661783711810641,3.205579479932428e-05,0.607,4.0,342733.0,0.993,0.593,10.0,0.11199999999999999,-4.511,0.0,10.0,22.0,0.14800000000000002,136.208,0.18453756379655806,47.161,-5.473573055028455,-5.764,-62.608,5.514,109.769,0.23577944112281157,13.155422637391093,173.06514476838203,2.2707327521193346,58.672,-3.9290917141049895,-1.99,-120.673,7.874,179.345,-0.7729028059578137,16.85981665088303,284.2534175013926,0.05764973461193268,47.601,5.39195129664769,4.7,-32.129,16.628,79.72999999999999,0.30431320190908756,13.549224230583558,183.58147725063262,6.285012836510926,58.537,50.090073371283964,51.718,0.0,54.112,58.537,-1.7916345883651597,5.34969805643827,28.619269295059404,3.798214807778445,328.285,83.92128589500332,91.114,-160.525,117.895,488.81000000000006,-0.8870592408882725,47.62395263687703,2268.0408647595063,-0.1656479042397776,139.042,5.736616065781154,-3.815,-81.985,45.65,221.027,0.6343914748014678,42.3689099894019,1795.1245336900402,3.4099480061125558,160.307,5.424951929158757,2.731,-99.296,21.724,259.603,1.0987117311849866,30.881842441077936,953.6881925555625,1.2816669665896132,147.161,26.91134092346615,25.315,-51.486,44.844,198.647,0.6595870994999502,28.141062237732932,791.9193838679583,1.8556406360978475,95.264,-36.82252308665405,-37.908,-103.621,-19.212,198.885,0.6513275098716826,24.212430951965015,586.2418126036735,-0.2618809450092985,53.592,-4.696752688172047,-4.106,-84.027,13.652,137.619,-0.054517388184881874,22.109882721127203,488.84691394199933,1.5655248766356626,76.484,5.747757115749518,6.338,-96.773,20.297,173.257,-0.2612422311344726,18.266634624402272,333.66994050141193,0.06418766469003145,60.513,-0.8057438330170833,3.063,-70.138,16.274,130.651,-0.6432539710275204,21.295049207525913,453.47912075094996,4.0,smack my bitch up,0.22899999999999998,2009.0
0.00215,inner life,2.6481044219102383,0.54639,0.5277747902571042,0.52805,0.50642,0.53126,0.03997000000000006,-0.4913645589854998,0.005653973567993051,3.196741710756407e-05,0.759,4.0,392067.0,0.6859999999999999,0.0142,11.0,0.10800000000000001,-9.427999999999999,1.0,10.0,26.0,0.109,113.524,0.42875157405741326,85.48,-1.0051209327548807,-1.0514999999999999,-80.969,14.6736,166.449,0.12707712043669211,19.26622578216574,371.18745588938793,1.6369773867985886,65.437,-7.783533080260288,-7.1585,-114.361,6.360200000000001,179.798,-0.14827177318288629,18.391082193198283,338.2319042369749,0.5922009172802221,65.501,2.9921616052060735,3.4005,-67.187,17.1548,132.688,-0.12232245029579472,19.117496026752196,365.47865433288604,10.389366801041474,52.98,44.91678199566159,46.482,0.001,49.1914,52.979,-2.5678886918038812,6.135381117398331,37.642901455727994,1.0883769390842568,290.597,106.42366485900212,104.77850000000001,-160.304,143.301,450.90099999999995,0.1258186780083258,47.71785188585358,2276.99338860026,0.14547142005124813,195.715,-23.4612011930585,-24.5265,-223.187,30.694000000000006,418.90200000000004,0.2535227227604313,71.95100907570453,5176.947707012117,4.994542831477484,311.196,9.784687093275487,8.298,-237.926,39.4902,549.1220000000001,0.5594004274562647,42.09021082351999,1771.5858471683591,0.5605687550689025,180.486,28.38350433839479,23.326500000000003,-66.356,55.3468,246.84199999999998,0.663720766815084,35.07412921643524,1230.1945402911958,2.949145839237004,220.255,-21.964712039045573,-24.8705,-107.706,2.935600000000009,327.961,0.9283880504691513,34.45315883469573,1187.020153688772,-0.2938058826490533,107.099,5.903133405639911,3.6725,-88.525,35.5768,195.62400000000002,0.031955735049473605,31.960328871499353,1021.4626215743951,0.5902488144379441,90.073,10.945880151843824,10.538,-85.526,30.775400000000005,175.599,-0.09730563337869162,25.024291714960096,626.2151758354205,0.4961942179410186,61.29,-20.4526496746204,-20.848,-91.315,-5.141999999999998,152.605,-0.010198627944735304,18.56078479405432,344.5027321711981,4.0,moment of my life,0.821,2009.0
0.0015400000000000001,nightwriters,8.453988029426002,0.492,0.48218624872579,0.48216,0.47018,0.48309,0.021820000000000006,-0.24343004272921184,0.0014485891041884887,2.098410392773608e-06,0.654,4.0,476307.0,0.868,0.0694,1.0,0.0847,-6.785,1.0,10.0,27.0,0.0303,124.43299999999999,0.5686440834538975,78.558,11.405587163920192,10.061499999999999,-47.517,23.538,126.07500000000002,0.3122175712329394,14.080969545653147,198.27370334561138,3.5796675693507707,117.642,-13.542881613183015,-14.042,-69.178,-2.783,186.82,0.4264859639043839,13.929161185872335,194.0215313420124,-0.23553166838705364,73.376,5.982403729401565,5.281,-56.515,23.597,129.89100000000002,0.17457426860844907,20.604228643898065,424.53423801002947,30.897752188788424,56.652,49.41605073720732,49.7535,0.0,52.179,56.652,-4.082400734764324,4.3168500467006945,18.635194325699786,0.8998619540364272,308.854,122.12067302688624,122.2925,6.608,150.051,302.246,0.1646408473805994,34.31924887540283,1177.810843371838,0.7156286883216061,152.845,-9.808382046834348,-15.936,-146.915,23.259,299.76,0.618979816353685,41.10719318516152,1689.8013315621895,0.70073363631125,132.952,12.002367736340002,16.1945,-96.757,34.432,229.709,-0.5175720122037436,28.966844722507595,839.0780931778661,0.5275152554883293,143.082,34.959536426712965,34.879999999999995,-43.819,55.71,186.901,0.2568432780370028,27.48891907077689,755.6406716797215,1.3690018042733456,198.022,-45.115024284475304,-46.5815,-109.708,-19.603,307.73,0.5886894734312959,31.469810275618958,990.3489587834526,0.842470629115065,87.755,17.335185602775393,19.4495,-63.324,33.228,151.079,-0.46095779553725047,19.213047027228544,369.14117607049565,0.7010169206979957,91.363,14.586505637467496,12.923,-58.366,27.78,149.72899999999998,0.4926791819993919,17.162256685493876,294.54305453877924,0.6025972009856417,52.439,-14.643223330442316,-10.349,-106.641,4.276,159.08,-0.8312324822618554,23.143571065922984,535.6248816834276,4.0,let the music use you,0.547,2009.0
