acousticness,artist,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,time_signature,title,valence,year
0.0152,rene & angela,0.88,29.0,257653.0,0.755,0.00723,10.0,0.251,-10.772,0.0,6.0,3.0,0.0641,111.784,4.0,save your love (for #1),0.637,1985.0
0.0378,eurythmics,0.613,6.0,268240.0,0.912,3.65e-05,2.0,0.52,-4.639,1.0,7.0,5.0,0.0328,131.962,4.0,would i lie to you?,0.732,1985.0
0.00346,paul hardcastle,0.68,6.0,237307.0,0.727,0.522,5.0,0.0987,-14.856,0.0,7.0,10.0,0.0345,125.238,4.0,king tut,0.937,1985.0
0.00281,paul hardcastle,0.753,13.0,210853.0,0.897,0.73,11.0,0.351,-8.54,1.0,7.0,1.0,0.073,117.937,4.0,19,0.937,1985.0
0.0954,alisha,0.744,27.0,335373.0,0.825,0.222,1.0,0.0473,-8.435,1.0,7.0,6.0,0.0797,105.002,4.0,too turned on,0.858,1985.0
0.00521,new order,0.629,3.0,289373.0,0.859,0.252,0.0,0.131,-6.065,1.0,8.0,5.0,0.0325,130.405,4.0,the perfect kiss,0.8,1985.0
0.182,supertramp,0.76,3.0,458083.0,0.728,0.0808,2.0,0.0901,-9.766,0.0,8.0,9.0,0.0347,127.213,4.0,cannonball,0.801,1985.0
0.21,prince and the revolution,0.761,10.0,215173.0,0.67,0.000426,2.0,0.0685,-12.759,1.0,8.0,4.0,0.0438,120.752,4.0,raspberry beret,0.91,1985.0
0.242,aretha franklin,0.688,17.0,352093.0,0.899,5.55e-06,2.0,0.0223,-6.328,1.0,8.0,1.0,0.0734,126.509,4.0,freeway of love,0.833,1985.0
1.01e-05,lime,0.677,17.0,393067.0,0.649,0.452,5.0,0.0761,-10.521,0.0,8.0,6.0,0.0351,128.379,4.0,unexpected lovers,0.867,1985.0
0.00183,tears for fears,0.606,24.0,480200.0,0.924,0.000554,7.0,0.0729,-8.716,0.0,8.0,1.0,0.0469,98.428,4.0,shout (remix),0.539,1985.0
0.0162,time bandits,0.72,31.0,293107.0,0.567,0.000684,2.0,0.0368,-13.863,0.0,8.0,2.0,0.0482,118.042,4.0,i'm only shooting love,0.914,1985.0
0.0465,colonel abrams,0.767,7.0,240653.0,0.794,0.000219,9.0,0.0575,-7.419,0.0,9.0,1.0,0.0542,115.168,4.0,trapped,0.886,1985.0
0.21,mai tai,0.732,7.0,232827.0,0.813,0.00353,4.0,0.0652,-11.19,0.0,9.0,3.0,0.0433,101.972,4.0,history,0.902,1985.0
0.0347,five star,0.842,7.0,213413.0,0.562,0.000271,2.0,0.044,-11.017,1.0,9.0,6.0,0.048,115.788,4.0,all fall down,0.719,1985.0
0.0128,goon squad,0.64,14.0,253773.0,0.795,0.0891,10.0,0.0864,-12.088,1.0,9.0,1.0,0.0427,118.326,4.0,eight arms to hold you,0.761,1985.0
0.000138,brenda k. starr,0.637,14.0,278800.0,0.802,0.0359,10.0,0.0615,-6.928,0.0,9.0,9.0,0.036,115.292,4.0,pickin' up pieces,0.703,1985.0
0.11,the pointer sisters,0.712,21.0,252427.0,0.915,2.37e-05,4.0,0.185,-6.533,0.0,9.0,1.0,0.0847,109.604,4.0,dare me,0.885,1985.0
0.112,sting,0.617,21.0,264867.0,0.848,0.00084,9.0,0.0659,-7.892,0.0,9.0,10.0,0.0272,122.696,4.0,if you love somebody set them free (remix),0.923,1985.0
0.0347,abc,0.714,28.0,219720.0,0.827,0.318,5.0,0.058,-6.886,1.0,9.0,1.0,0.0318,124.71,4.0,be near me,0.785,1985.0
0.118,rene & angela,0.815,5.0,321067.0,0.646,4.8e-05,10.0,0.0733,-9.784,1.0,10.0,7.0,0.0546,108.392,4.0,i'll be good,0.757,1985.0
0.0384,ready for the world,0.797,12.0,242000.0,0.617,0.000181,0.0,0.0833,-8.789,1.0,10.0,1.0,0.0751,128.875,4.0,oh sheila,0.89,1985.0
0.181,simply red,0.799,12.0,269173.0,0.796,0.000344,11.0,0.0533,-6.099,0.0,10.0,2.0,0.0313,113.311,4.0,money's too tight to mention,0.882,1985.0
